model,rmse,mae,r2,params,epochs,time,dataset
MLP,13.310131072998047,10.219508171081543,0.889679810394519,156673,39,21.909112691879272,CMAPSS_FD001
LSTM,13.555277824401855,9.454604148864746,0.8855786266592109,214657,35,23.556083917617798,CMAPSS_FD001
BiLSTM,13.015357971191406,9.388336181640625,0.89451212647838,560257,38,28.59772300720215,CMAPSS_FD001
CNN-LSTM,14.27013111114502,9.690471649169922,0.8731921155146786,81729,32,25.471243381500244,CMAPSS_FD001
Transformer,16.567764282226562,12.307625770568848,0.8290700284532765,411649,45,64.3201334476471,CMAPSS_FD001
Vanilla FCN,15.966634750366211,12.19083023071289,0.8412487687971579,106113,34,24.42954111099243,CMAPSS_FD001
MLP,17.900508880615234,14.721345901489258,0.8247712852586062,225793,100,119.02716207504272,CMAPSS_FD002
LSTM,15.890484809875488,11.68995189666748,0.861914274889448,219265,38,56.87531542778015,CMAPSS_FD002
BiLSTM,15.298006057739258,11.559610366821289,0.8720193930566202,569473,37,69.10445475578308,CMAPSS_FD002
CNN-LSTM,21.17464828491211,14.924331665039062,0.7548076517147366,84609,32,55.1546893119812,CMAPSS_FD002
Transformer,14.684965133666992,10.499778747558594,0.8820710818012565,412801,39,129.3944706916809,CMAPSS_FD002
Vanilla FCN,21.001636505126953,15.6543607711792,0.75879807305538,110145,93,151.84002590179443,CMAPSS_FD002
MLP,12.635232925415039,8.953906059265137,0.8959250722715497,164353,52,36.15147018432617,CMAPSS_FD003
LSTM,11.864885330200195,8.651744842529297,0.9082287236540267,215169,40,32.84818768501282,CMAPSS_FD003
BiLSTM,12.07555103302002,8.664692878723145,0.9049409360053138,561281,45,45.13666009902954,CMAPSS_FD003
CNN-LSTM,13.4240140914917,10.062039375305176,0.8825252709782045,82049,36,33.11294507980347,CMAPSS_FD003
Transformer,14.098660469055176,9.9846830368042,0.8704207858895051,411777,36,60.1738555431366,CMAPSS_FD003
Vanilla FCN,14.609747886657715,10.810997009277344,0.8608558126942261,106561,39,33.87780451774597,CMAPSS_FD003
MLP,21.82209587097168,17.391942977905273,0.7394345246254859,225793,100,139.84055352210999,CMAPSS_FD004
LSTM,19.074186325073242,13.798277854919434,0.8009253333752755,219265,39,68.09487557411194,CMAPSS_FD004
BiLSTM,20.1746826171875,13.628016471862793,0.7772912001683073,569473,39,83.75996780395508,CMAPSS_FD004
CNN-LSTM,23.63233757019043,17.41594123840332,0.6944113123789895,84609,31,61.00461149215698,CMAPSS_FD004
Transformer,17.01617431640625,12.23861026763916,0.841566208689012,412801,51,202.8976435661316,CMAPSS_FD004
Vanilla FCN,23.924095153808594,17.77645492553711,0.6868193356649714,110145,90,168.9044108390808,CMAPSS_FD004
MLP,6.031642913818359,4.808722972869873,0.4424803765467089,213505,67,51.3751962184906,Jena_Climate
LSTM,5.824005603790283,4.685290336608887,0.4802045712798413,214145,33,30.519838571548462,Jena_Climate
BiLSTM,5.8238525390625,4.700332164764404,0.4802318655010651,559233,35,39.07896041870117,Jena_Climate
CNN-LSTM,5.948851108551025,4.780928134918213,0.4576805938523806,81409,31,33.91605067253113,Jena_Climate
Transformer,5.777239799499512,4.612706184387207,0.48851878410140004,413825,32,64.10303163528442,Jena_Climate
Vanilla FCN,5.967979907989502,4.71319055557251,0.45418732657251837,105665,34,35.27196478843689,Jena_Climate
