epoch,train_loss,val_loss,train_rmse,val_rmse,lr,train_rul_mse,train_spectral,train_multi_step
0,5.830813234105058,6.679752826690674,2.0806329250335693,2.185960292816162,0.016,2.098260928856452,0.00016382237313658388,0.30602407196293707
1,-1.1972846673882527,-1.8179542620976765,0.0624779649078846,0.3321475684642792,0.01599094437676815,0.0014301023892703993,1.4510565175477861e-05,0.029524514654084393
2,-2.706982695538065,-3.4667749404907227,0.02527446299791336,0.029971428215503693,0.015963798020971812,8.846547627953164e-05,7.6144060077841464e-06,0.011605500304342611
3,-4.134696525076161,-4.8692558606465655,0.021011799573898315,0.019586212933063507,0.015918622427838057,7.152956570043106e-05,8.455764292198578e-06,0.007902705333317104
4,-5.501185396443242,-6.1619789600372314,0.023234007880091667,0.01342063769698143,0.01585551993461534,9.212255305180366e-05,2.189356181024555e-05,0.00869574592165325
5,-6.865797892860744,-7.5589728355407715,0.018393056467175484,0.023869121447205544,0.015774633488746716,0.00010866121801486968,6.359724030880403e-06,0.003928088132575478
6,-8.201165365136188,-8.891849676767984,0.021864058449864388,0.012823467142879963,0.01567614632404791,0.00012320902485795239,3.135581262076639e-07,0.0009152254307359133
7,-9.511942158574643,-10.181254069010416,0.019988492131233215,0.026010636240243912,0.015560281545623774,0.00011114427995736428,3.1949760199808615e-08,0.0005076491392885699
8,-10.802815354388693,-11.388689994812012,0.018918413668870926,0.044467806816101074,0.015427301624463501,0.00013921018145755744,1.0200013104675621e-08,0.00032109170759845847
9,-12.075919068377951,-12.712129275004068,0.019204156473279,0.015655992552638054,0.015277507802859375,0.00011403694731163104,7.442251097611319e-07,0.00022611261722530523
10,-13.327802409296451,-13.926254749298096,0.01963731460273266,0.02591569721698761,0.015111239411996113,0.00011992896432512562,1.771043166806531e-07,0.00016128267927105418
11,-14.564365262570588,-15.206066926320394,0.019441116601228714,0.015454394742846489,0.014928873103256588,0.00011265106719371903,7.114198513383362e-08,5.561201127736991e-05
12,-15.766921706821607,-16.411580721537273,0.019031887874007225,0.015150669030845165,0.014730821994985294,0.00012065075355602185,6.11423387622183e-06,0.00014188183463968176
13,-16.964212251746137,-17.59421189626058,0.019492190331220627,0.015163279138505459,0.014517534736642435,0.00011784672571356286,6.630494588160505e-07,2.3367039592931572e-05
14,-18.115997480309527,-18.716997782389324,0.019462769851088524,0.014501803554594517,0.014289494492468587,0.00011710404594297238,7.351992145511526e-09,2.513703851076096e-05
15,-19.21755152163298,-19.83529567718506,0.019384432584047318,0.016173353418707848,0.014047217846962296,0.00012094450294566543,5.849093064963748e-09,2.6011465390341904e-05
16,-20.211397751517918,-20.586649258931477,0.01950324885547161,0.013557972386479378,0.013791253634650035,0.00011185579047457355,2.3393438645151175e-08,1.8910677325671397e-05
17,-20.715731828109078,-20.876662572224934,0.020082388073205948,0.011951160617172718,0.013522181696799486,9.903736708625017e-05,1.363143878933524e-08,2.2596978377133265e-05
18,-20.815679798955504,-20.814635276794434,0.020815331488847733,0.0169720109552145,0.013240611567892555,9.63750179558385e-05,2.0953280656437587e-10,1.6760974769726012e-05
19,-20.81750256082286,-20.8697411219279,0.020568104460835457,0.013123075477778912,0.01294718109483374,7.94657701234151e-05,4.374726088631474e-09,5.180316625426159e-05
20,-20.843131936114766,-20.884005546569824,0.02061505615711212,0.011791188269853592,0.01264255499202173,7.349744856069067e-05,8.70054430434231e-08,1.5390067445601428e-05
21,-20.850768213686734,-20.892287572224934,0.020473280921578407,0.011532616801559925,0.012327423335557504,6.810157941325325e-05,3.471242848718248e-08,7.134952303876281e-06
22,-20.847638503364895,-20.886831919352215,0.020569106563925743,0.012058444321155548,0.0120025,7.023449317152289e-05,4.6162548527700874e-08,6.327631650571635e-06
23,-20.85074980362602,-20.86255677541097,0.02032649889588356,0.010792646557092667,0.011668521041210647,7.032074569471423e-05,1.5285017062677506e-07,6.744858123768252e-06
24,-20.849710796190344,-20.88395086924235,0.020478367805480957,0.009551805444061756,0.011326243028950083,6.74999251002547e-05,5.187274764318278e-11,4.092388171952536e-06
25,-20.85335515893024,-20.886452039082844,0.02067052572965622,0.010812119580805302,0.010976441333004319,6.39636184686147e-05,5.19722097242661e-09,3.19314898186586e-06
26,-20.858403993689496,-20.900570233662922,0.02075209468603134,0.010649517178535461,0.010619908366722787,6.05958245970491e-05,1.0786043748977215e-09,2.6169705645019268e-06
27,-20.859347882478133,-20.8998810450236,0.02074100263416767,0.009729648940265179,0.01025745179194723,5.73993270138643e-05,1.7469812649635417e-09,2.0036199667510632e-06
28,-20.863450672315516,-20.900193850199383,0.020694054663181305,0.009808110073208809,0.009889892689397871,5.5562591391524464e-05,2.5833355261725096e-09,1.9637202117535155e-06
