epoch,train_loss,val_loss,train_rmse,val_rmse,lr,train_rul_mse,train_spectral,train_multi_step
0,1280.7000732421875,904.0341796875,85.5889663696289,64.49687194824219,0.016,1280.7000732421875,0.0,0.0
1,843.9143188476562,557.965087890625,61.69218444824219,41.106117248535156,0.01599094437676815,843.9143188476562,0.0,0.0
2,587.7501708984375,609.74609375,45.31783676147461,51.15805435180664,0.015963798020971812,587.7501708984375,0.0,0.0
3,606.25224609375,475.79034423828125,53.31914520263672,42.879661560058594,0.015918622427838057,606.25224609375,0.0,0.0
4,437.4803161621094,415.8146057128906,54.54004669189453,37.12553405761719,0.01585551993461534,437.4803161621094,0.0,0.0
5,432.221630859375,431.56201171875,51.54335021972656,38.832275390625,0.015774633488746716,432.221630859375,0.0,0.0
6,409.0026550292969,357.33154296875,53.81571578979492,34.6395263671875,0.01567614632404791,409.0026550292969,0.0,0.0
7,367.4345397949219,306.4424743652344,52.08652877807617,31.732704162597656,0.015560281545623774,367.4345397949219,0.0,0.0
8,338.325146484375,290.9303894042969,53.67891311645508,31.858755111694336,0.015427301624463501,338.325146484375,0.0,0.0
9,327.8973693847656,281.8038024902344,54.028072357177734,29.767107009887695,0.015277507802859375,327.8973693847656,0.0,0.0
10,306.8203369140625,287.0318298339844,54.15896987915039,31.869524002075195,0.015111239411996113,306.8203369140625,0.0,0.0
11,304.9221984863281,267.11700439453125,55.8316650390625,29.475332260131836,0.014928873103256588,304.9221984863281,0.0,0.0
12,305.49713134765625,269.5802917480469,54.80488586425781,29.776609420776367,0.014730821994985294,305.49713134765625,0.0,0.0
13,298.2138244628906,266.7907409667969,56.010955810546875,29.55461883544922,0.014517534736642435,298.2138244628906,0.0,0.0
14,290.818896484375,265.6899108886719,54.461647033691406,29.118541717529297,0.014289494492468587,290.818896484375,0.0,0.0
15,283.8606811523438,246.38284301757812,55.315921783447266,28.152475357055664,0.014047217846962296,283.8606811523438,0.0,0.0
16,275.5388488769531,234.8280792236328,54.97300338745117,27.181259155273438,0.013791253634650035,275.5388488769531,0.0,0.0
17,269.59185791015625,218.35769653320312,55.436622619628906,24.356693267822266,0.013522181696799486,269.59185791015625,0.0,0.0
18,260.34686279296875,210.41761779785156,55.216304779052734,24.82817840576172,0.013240611567892555,260.34686279296875,0.0,0.0
19,250.62754821777344,215.399658203125,56.00242614746094,25.454259872436523,0.01294718109483374,250.62754821777344,0.0,0.0
20,245.0658386230469,217.17413330078125,55.15333557128906,25.409711837768555,0.01264255499202173,245.0658386230469,0.0,0.0
21,241.8731262207031,190.03843688964844,56.53042984008789,23.21201515197754,0.012327423335557504,241.8731262207031,0.0,0.0
22,235.18462219238282,166.33285522460938,56.060245513916016,21.16398048400879,0.0120025,235.18462219238282,0.0,0.0
23,224.4005889892578,169.02737426757812,56.525001525878906,20.698461532592773,0.011668521041210647,224.4005889892578,0.0,0.0
24,217.97382507324218,150.75460815429688,56.360313415527344,18.824155807495117,0.011326243028950083,217.97382507324218,0.0,0.0
25,210.86256713867186,138.37318420410156,56.6953125,18.263771057128906,0.010976441333004319,210.86256713867186,0.0,0.0
26,203.28280029296874,140.47352600097656,57.06120300292969,18.014144897460938,0.010619908366722787,203.28280029296874,0.0,0.0
27,204.8311309814453,130.95806884765625,56.996849060058594,17.536325454711914,0.01025745179194723,204.8311309814453,0.0,0.0
28,202.3858642578125,129.11219787597656,57.14426040649414,17.42629051208496,0.009889892689397871,202.3858642578125,0.0,0.0
29,197.4947540283203,131.13385009765625,57.37119674682617,17.490764617919922,0.00951806369866148,197.4947540283203,0.0,0.0
30,196.4776123046875,119.2502212524414,57.4044303894043,16.519779205322266,0.009142807131994916,196.4776123046875,0.0,0.0
31,189.99129943847657,111.77137756347656,56.93264389038086,15.863045692443848,0.00876497306621694,189.99129943847657,0.0,0.0
32,187.51515197753906,111.29881286621094,57.6337890625,16.06322479248047,0.008385417417010821,187.51515197753906,0.0,0.0
33,185.2673370361328,105.48528289794922,57.189449310302734,15.515743255615234,0.008005,185.2673370361328,0.0,0.0
34,183.26444091796876,110.86890411376953,57.58079528808594,16.11067771911621,0.007624582582989181,183.26444091796876,0.0,0.0
35,175.93305053710938,101.56153106689453,57.83073043823242,15.306825637817383,0.007245026933783061,175.93305053710938,0.0,0.0
36,180.62785949707032,113.91808319091797,58.28322219848633,16.038122177124023,0.006867192868005086,180.62785949707032,0.0,0.0
37,171.4134552001953,109.46842193603516,57.76737976074219,15.723265647888184,0.006491936301338521,171.4134552001953,0.0,0.0
38,169.68545532226562,104.40973663330078,58.210262298583984,15.375051498413086,0.006120107310602131,169.68545532226562,0.0,0.0
39,168.05108947753905,97.99784851074219,57.564048767089844,14.779487609863281,0.005752548208052771,168.05108947753905,0.0,0.0
40,166.64051513671876,114.83937072753906,58.62572479248047,16.17451286315918,0.005390091633277214,166.64051513671876,0.0,0.0
41,165.05880432128907,112.64851379394531,57.23001480102539,16.092641830444336,0.005033558666995682,165.05880432128907,0.0,0.0
42,160.69849548339843,105.96648406982422,58.111961364746094,15.43435287475586,0.0046837569710499165,160.69849548339843,0.0,0.0
43,160.4105651855469,105.04476165771484,58.34189224243164,15.298932075500488,0.004341478958789354,160.4105651855469,0.0,0.0
44,156.82223205566407,111.34171295166016,57.57883834838867,15.748291969299316,0.0040075000000000015,156.82223205566407,0.0,0.0
45,154.43772583007814,103.02993774414062,58.60531997680664,15.226725578308105,0.003682576664442497,154.43772583007814,0.0,0.0
46,155.63765563964844,96.74799346923828,58.36814880371094,14.510746002197266,0.003367445007978272,155.63765563964844,0.0,0.0
47,155.4605926513672,89.1866226196289,57.90829086303711,13.870080947875977,0.003062818905166261,155.4605926513672,0.0,0.0
48,153.41222534179687,91.01093292236328,58.34910202026367,14.0327787399292,0.002769388432107447,153.41222534179687,0.0,0.0
49,152.7560791015625,96.07659149169922,58.343284606933594,14.551420211791992,0.002487818303200516,152.7560791015625,0.0,0.0
50,150.96514587402345,104.46849060058594,58.62063980102539,15.31641674041748,0.002218746365349964,150.96514587402345,0.0,0.0
51,146.71351013183593,82.0274429321289,58.5038948059082,13.28593635559082,0.001962782153037706,146.71351013183593,0.0,0.0
52,147.57278747558593,97.85354614257812,57.84229278564453,14.63508415222168,0.001720505507531414,147.57278747558593,0.0,0.0
53,146.7503875732422,91.47720336914062,57.799278259277344,14.14856243133545,0.001492465263357566,146.7503875732422,0.0,0.0
54,143.0789367675781,88.50907135009766,58.62382888793945,13.819070816040039,0.0012791780050147071,143.0789367675781,0.0,0.0
55,146.92492065429687,99.90093231201172,58.308319091796875,14.905473709106445,0.0010811268967434126,146.92492065429687,0.0,0.0
56,144.16896057128906,84.62124633789062,58.365333557128906,13.51567554473877,0.0008987605880038877,144.16896057128906,0.0,0.0
57,144.21792297363282,102.83573913574219,58.26968002319336,15.124323844909668,0.0007324921971406269,144.21792297363282,0.0,0.0
58,145.6287414550781,84.32763671875,58.150848388671875,13.512495994567871,0.0005826983755364999,145.6287414550781,0.0,0.0
59,143.70387268066406,89.96397399902344,57.82483673095703,13.984869003295898,0.00044971845437622577,143.70387268066406,0.0,0.0
60,144.9371124267578,91.20294952392578,58.29312515258789,14.093400955200195,0.0003338536759520945,144.9371124267578,0.0,0.0
61,145.4621337890625,86.66629791259766,58.13106918334961,13.70185375213623,0.0002353665112532845,145.4621337890625,0.0,0.0
62,143.71521911621093,89.35645294189453,58.1253662109375,13.933751106262207,0.00015448006538466076,143.71521911621093,0.0,0.0
63,144.94800415039063,91.01090240478516,58.507938385009766,14.083857536315918,9.13775721619432e-05,144.94800415039063,0.0,0.0
64,143.16677551269532,90.1732177734375,58.30556869506836,14.010601997375488,4.620197902818871e-05,143.16677551269532,0.0,0.0
65,142.13197631835936,89.77277374267578,58.34552764892578,13.975273132324219,1.905562323185134e-05,142.13197631835936,0.0,0.0
66,250.21246948242188,147.646728515625,59.80427932739258,19.454492568969727,0.016,250.21246948242188,0.0,0.0
67,212.77626037597656,147.50526428222656,56.6132698059082,18.724090576171875,0.01599094437676815,212.77626037597656,0.0,0.0
68,200.67554321289063,150.77365112304688,57.09621047973633,20.115297317504883,0.015963798020971812,200.67554321289063,0.0,0.0
69,191.03805541992188,130.75767517089844,57.88978576660156,17.789939880371094,0.015918622427838057,191.03805541992188,0.0,0.0
70,185.82998046875,120.9240951538086,57.50197982788086,16.789899826049805,0.01585551993461534,185.82998046875,0.0,0.0
71,178.68336486816406,141.47080993652344,57.37941360473633,18.30702018737793,0.015774633488746716,178.68336486816406,0.0,0.0
72,182.1992218017578,152.06948852539062,58.508174896240234,19.020238876342773,0.01567614632404791,182.1992218017578,0.0,0.0
73,174.50647888183593,121.95802307128906,57.39768981933594,16.55570411682129,0.015560281545623774,174.50647888183593,0.0,0.0
74,172.02402954101564,112.25101470947266,57.814327239990234,15.784417152404785,0.015427301624463501,172.02402954101564,0.0,0.0
75,169.87127075195312,134.51502990722656,57.7967643737793,17.535982131958008,0.015277507802859375,169.87127075195312,0.0,0.0
76,166.0314483642578,117.54098510742188,57.76125717163086,16.931432723999023,0.015111239411996113,166.0314483642578,0.0,0.0
77,168.99368896484376,110.9401626586914,58.21051025390625,16.020233154296875,0.014928873103256588,168.99368896484376,0.0,0.0
78,165.14176330566406,109.91930389404297,57.16615295410156,16.187530517578125,0.014730821994985294,165.14176330566406,0.0,0.0
79,166.32750244140624,107.41890716552734,58.21377182006836,16.180986404418945,0.014517534736642435,166.32750244140624,0.0,0.0
80,173.64208984375,105.51923370361328,57.29240036010742,15.82789134979248,0.014289494492468587,173.64208984375,0.0,0.0
81,158.06636657714844,116.56204986572266,57.87455368041992,16.218154907226562,0.014047217846962296,158.06636657714844,0.0,0.0
82,153.21605529785157,136.58372497558594,58.04777145385742,17.790332794189453,0.013791253634650035,153.21605529785157,0.0,0.0
83,170.02402954101564,105.95018005371094,57.14215087890625,15.14990234375,0.013522181696799486,170.02402954101564,0.0,0.0
84,164.25521850585938,116.6849594116211,58.12798309326172,16.416107177734375,0.013240611567892555,164.25521850585938,0.0,0.0
85,163.5844512939453,108.89768981933594,58.34886932373047,15.621368408203125,0.01294718109483374,163.5844512939453,0.0,0.0
86,155.7277618408203,127.0866928100586,57.7789306640625,17.312030792236328,0.01264255499202173,155.7277618408203,0.0,0.0
87,166.02163696289062,94.09507751464844,58.13547134399414,14.498727798461914,0.012327423335557504,166.02163696289062,0.0,0.0
88,162.42841186523438,111.45221710205078,57.643367767333984,15.903066635131836,0.0120025,162.42841186523438,0.0,0.0
89,163.06866455078125,96.84551239013672,58.75498580932617,14.689786911010742,0.011668521041210647,163.06866455078125,0.0,0.0
90,161.47217407226563,123.51747131347656,56.77922821044922,17.078907012939453,0.011326243028950083,161.47217407226563,0.0,0.0
91,176.68951721191405,121.8570785522461,58.216514587402344,16.964250564575195,0.010976441333004319,176.68951721191405,0.0,0.0
